ZCTA,total_arrests,felonies,misdemeanors,violations,AMERICAN INDIAN/ALASKAN NATIVE,ASIAN / PACIFIC ISLANDER,BLACK,BLACK HISPANIC,UNKNOWN,WHITE,WHITE HISPANIC,total_pop,white_count,black_count,native_count,asian_count,hispanic_count,median_income,below_poverty,pct_white,pct_black,pct_native,pct_asian,pct_hispanic,arrest_rate_per_1000,HISPANIC_ARRESTS,black_arrest_rate_per_1000,white_arrest_rate_per_1000,asian_pacific_islander_arrest_rate_per_1000,american_indian/alaskan_native_arrest_rate_per_1000,hispanic_arrest_rate_per_1000
10034,1063,429,628,1,2,7,298,329,19,31,377,39037.0,7343.0,2750.0,93.0,1171.0,26191.0,69786.0,5687.0,0.1881035940261803,0.0704459871404052,0.0023823552014755,0.0299971821605143,0.6709275815252197,27.230576120091197,706,108.36363636363637,4.22170774887648,5.977796754910333,21.505376344086024,26.95582451987324
10035,3173,947,2204,8,3,69,1666,322,30,197,886,39082.0,5492.0,13769.0,30.0,2196.0,16341.0,40556.0,14181.0,0.1405250498950923,0.3523105265851287,0.0007676168056905,0.0561895501765518,0.4181208740596694,81.18827081520905,1208,120.99644128113879,35.87035688273853,31.420765027322403,100.0,73.92448442567775
10036,2067,843,1208,10,9,72,956,146,32,256,596,30589.0,15644.0,2286.0,29.0,4670.0,5706.0,100225.0,4155.0,0.5114256758965641,0.0747327470659387,0.0009480532217463,0.1526692601915721,0.1865376442512014,67.57331066723332,742,418.19772528433947,16.3641012528765,15.417558886509637,310.3448275862069,130.03855590606378
10037,332,139,193,0,1,4,248,27,8,15,29,18333.0,1992.0,11040.0,18.0,771.0,3801.0,51250.0,5049.0,0.108656521027655,0.6021927671412207,0.0009818360333824,0.0420553100965472,0.2073310423825888,18.109420171275843,56,22.463768115942027,7.530120481927711,5.188067444876784,55.55555555555555,14.732965009208103
10038,231,58,164,0,1,11,109,14,2,39,55,23342.0,9849.0,2301.0,43.0,6849.0,2748.0,115121.0,3939.0,0.4219432782109502,0.0985776711507154,0.0018421729072058,0.2934195870105389,0.1177277011395767,9.896324222431668,69,47.370708387657544,3.9597928723728297,1.6060738793984521,23.25581395348837,25.109170305676855
10039,371,177,190,2,1,5,263,29,6,9,58,30512.0,2126.0,16308.0,0.0,446.0,9987.0,48792.0,8592.0,0.0696775039328788,0.5344782380702674,0.0,0.0146171997902464,0.327313843733613,12.159150498164657,87,16.127054206524402,4.233301975540922,11.210762331838565,,8.71132472213878
10040,552,265,280,3,2,5,95,154,8,27,261,41581.0,9348.0,1447.0,32.0,704.0,28612.0,64022.0,6741.0,0.2248142180322743,0.0347995478704215,0.0007695822611288,0.0169308097448353,0.6881027392318607,13.275294004473196,415,65.65307532826537,2.8883183568677793,7.102272727272727,62.5,14.504403746679715
10044,20,11,9,0,0,1,12,1,0,5,1,11998.0,4953.0,1726.0,0.0,3530.0,1230.0,106146.0,1293.0,0.4128188031338556,0.1438573095515919,0.0,0.2942157026171028,0.1025170861810301,1.666944490748458,2,6.952491309385863,1.0094891984655763,0.28328611898017,,1.6260162601626016
10048,2,0,2,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,1,,,,,
10065,667,375,282,1,2,34,249,73,8,129,172,31047.0,22144.0,624.0,0.0,4055.0,3099.0,160938.0,1860.0,0.7132412149321996,0.0200985602473668,0.0,0.1306084323767191,0.0998164073823557,21.483557187489932,245,399.03846153846155,5.825505780346821,8.384710234278668,,79.05776056792514
10069,16,9,7,0,2,0,8,0,0,6,0,6669.0,2945.0,105.0,0.0,1947.0,556.0,226151.0,1771.0,0.4415954415954416,0.0157444894286999,0.0,0.2919478182636077,0.0833708202129254,2.3991602938971357,0,76.1904761904762,2.0373514431239386,0.0,,0.0
10075,72,24,43,1,0,5,28,8,1,18,12,23865.0,18899.0,196.0,0.0,2276.0,1272.0,146556.0,2959.0,0.7919128430756338,0.0082128640268175,0.0,0.0953697883930442,0.0532998114393463,3.016970458830924,20,142.85714285714286,0.9524313455738398,2.1968365553602816,,15.723270440251572
10111,4,2,2,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,,,,,,inf,4,,,,,
